district,polling_division,candidate,party,votes,percentage
Nuwaraeliya,Postal Votes,A.S.P. LIYANAGE,SLLP,0,0
Puttalam,Postal Votes,A.S.P. LIYANAGE,SLLP,0,0
Kegalle,Postal Votes,A.S.P. LIYANAGE,SLLP,0,0
Batticaloa,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0.01
Trincomalee,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0.01
Gampaha,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0
Mahanuwara,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0
Galle,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0
Monaragala,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0
Ratnapura,Postal Votes,A.S.P. LIYANAGE,SLLP,1,0
Vanni,Postal Votes,A.S.P. LIYANAGE,SLLP,2,0.02
Colombo,Postal Votes,A.S.P. LIYANAGE,SLLP,2,0.01
Colombo,ColomboWest,A.S.P. LIYANAGE,SLLP,2,0.01
Kalutara,Postal Votes,A.S.P. LIYANAGE,SLLP,2,0.01
Matale,Postal Votes,A.S.P. LIYANAGE,SLLP,2,0.01
Matara,Postal Votes,A.S.P. LIYANAGE,SLLP,2,0.01
Colombo,ColomboNorth,A.S.P. LIYANAGE,SLLP,2,0
Galle,Balapitiya,A.S.P. LIYANAGE,SLLP,3,0.01
Jaffna,Postal Votes,A.S.P. LIYANAGE,SLLP,3,0.01
Badulla,Postal Votes,A.S.P. LIYANAGE,SLLP,3,0.01
Mahanuwara,Yatinuwara,A.S.P. LIYANAGE,SLLP,3,0
Galle,Ambalangoda,A.S.P. LIYANAGE,SLLP,3,0
Matara,Kamburupitiya,A.S.P. LIYANAGE,SLLP,3,0
Matara,Matara,A.S.P. LIYANAGE,SLLP,3,0
Kurunegala,Wariyapola,A.S.P. LIYANAGE,SLLP,3,0
Hambantota,Postal Votes,A.S.P. LIYANAGE,SLLP,4,0.02
Colombo,Dehiwala,A.S.P. LIYANAGE,SLLP,4,0.01
Mahanuwara,Mahanuwara,A.S.P. LIYANAGE,SLLP,4,0.01
Galle,Galle,A.S.P. LIYANAGE,SLLP,4,0.01
Matara,Devinuwara,A.S.P. LIYANAGE,SLLP,4,0.01
Kurunegala,Postal Votes,A.S.P. LIYANAGE,SLLP,4,0.01
Kurunegala,Dambadeniya,A.S.P. LIYANAGE,SLLP,4,0.01
Kurunegala,Polgahawela,A.S.P. LIYANAGE,SLLP,4,0.01
Polonnaruwa,Postal Votes,A.S.P. LIYANAGE,SLLP,5,0.03
Digamadulla,Postal Votes,A.S.P. LIYANAGE,SLLP,5,0.02
Colombo,ColomboEast,A.S.P. LIYANAGE,SLLP,5,0.01
Kalutara,Kalutara,A.S.P. LIYANAGE,SLLP,5,0.01
Mahanuwara,Hewahata,A.S.P. LIYANAGE,SLLP,5,0.01
Mahanuwara,Udunuwara,A.S.P. LIYANAGE,SLLP,5,0.01
Galle,Ratgama,A.S.P. LIYANAGE,SLLP,5,0.01
Kurunegala,Kurunegala,A.S.P. LIYANAGE,SLLP,5,0.01
Anuradhapura,Postal Votes,A.S.P. LIYANAGE,SLLP,5,0.01
Polonnaruwa,Medirigiriya,A.S.P. LIYANAGE,SLLP,5,0.01
Kegalle,Galigamuwa,A.S.P. LIYANAGE,SLLP,5,0.01
Kegalle,Mawanella,A.S.P. LIYANAGE,SLLP,5,0.01
Mahanuwara,Teldeniya,A.S.P. LIYANAGE,SLLP,6,0.02
Colombo,ColomboCentral,A.S.P. LIYANAGE,SLLP,6,0.01
Gampaha,Mirigama,A.S.P. LIYANAGE,SLLP,6,0.01
Gampaha,Kelaniya,A.S.P. LIYANAGE,SLLP,6,0.01
Mahanuwara,Patadumbara,A.S.P. LIYANAGE,SLLP,6,0.01
Mahanuwara,Senkadagala,A.S.P. LIYANAGE,SLLP,6,0.01
Kurunegala,Paduwasnuwara,A.S.P. LIYANAGE,SLLP,6,0.01
Kurunegala,Dodangaslanda,A.S.P. LIYANAGE,SLLP,6,0.01
Anuradhapura,Horowpathana,A.S.P. LIYANAGE,SLLP,6,0.01
Anuradhapura,Mihinthale,A.S.P. LIYANAGE,SLLP,6,0.01
Badulla,Haputhale,A.S.P. LIYANAGE,SLLP,6,0.01
Gampaha,Gampaha,A.S.P. LIYANAGE,SLLP,6,0
Colombo,Ratmalana,A.S.P. LIYANAGE,SLLP,7,0.01
Colombo,Kotte,A.S.P. LIYANAGE,SLLP,7,0.01
Colombo,Moratuwa,A.S.P. LIYANAGE,SLLP,7,0.01
Kalutara,Panadura,A.S.P. LIYANAGE,SLLP,7,0.01
Kalutara,Agalawatta,A.S.P. LIYANAGE,SLLP,7,0.01
Matara,Akuressa,A.S.P. LIYANAGE,SLLP,7,0.01
Kurunegala,Yapahuwa,A.S.P. LIYANAGE,SLLP,7,0.01
Puttalam,Wennappuwa,A.S.P. LIYANAGE,SLLP,7,0.01
Anuradhapura,Medawachchiya,A.S.P. LIYANAGE,SLLP,7,0.01
Ratnapura,Kalawana,A.S.P. LIYANAGE,SLLP,7,0.01
Kegalle,Dedigama,A.S.P. LIYANAGE,SLLP,7,0.01
Jaffna,Jaffna,A.S.P. LIYANAGE,SLLP,8,0.03
Kegalle,Aranayake,A.S.P. LIYANAGE,SLLP,8,0.02
Colombo,Maharagama,A.S.P. LIYANAGE,SLLP,8,0.01
Kalutara,Horana,A.S.P. LIYANAGE,SLLP,8,0.01
Kalutara,Matugama,A.S.P. LIYANAGE,SLLP,8,0.01
Galle,Habaraduwa,A.S.P. LIYANAGE,SLLP,8,0.01
Matara,Hakmana,A.S.P. LIYANAGE,SLLP,8,0.01
Matara,Weligama,A.S.P. LIYANAGE,SLLP,8,0.01
Digamadulla,Kalmunai,A.S.P. LIYANAGE,SLLP,8,0.01
Anuradhapura,AnuradhapuraEast,A.S.P. LIYANAGE,SLLP,8,0.01
Anuradhapura,AnuradhapuraWest,A.S.P. LIYANAGE,SLLP,8,0.01
Monaragala,Bibila,A.S.P. LIYANAGE,SLLP,8,0.01
Ratnapura,Eheliyagoda,A.S.P. LIYANAGE,SLLP,8,0.01
Jaffna,Nallur,A.S.P. LIYANAGE,SLLP,9,0.03
Colombo,Borella,A.S.P. LIYANAGE,SLLP,9,0.02
Mahanuwara,Galagedara,A.S.P. LIYANAGE,SLLP,9,0.02
Matale,Laggala,A.S.P. LIYANAGE,SLLP,9,0.02
Badulla,Wiyaluwa,A.S.P. LIYANAGE,SLLP,9,0.02
Gampaha,Divulapitiya,A.S.P. LIYANAGE,SLLP,9,0.01
Mahanuwara,Gampola,A.S.P. LIYANAGE,SLLP,9,0.01
Mahanuwara,Nawalapitiya,A.S.P. LIYANAGE,SLLP,9,0.01
Hambantota,Beliatta,A.S.P. LIYANAGE,SLLP,9,0.01
Digamadulla,Sammanthurai,A.S.P. LIYANAGE,SLLP,9,0.01
Kurunegala,Nikaweratiya,A.S.P. LIYANAGE,SLLP,9,0.01
Kurunegala,Kuliyapitiya,A.S.P. LIYANAGE,SLLP,9,0.01
Kurunegala,Mawathagama,A.S.P. LIYANAGE,SLLP,9,0.01
Puttalam,Nattandiya,A.S.P. LIYANAGE,SLLP,9,0.01
Polonnaruwa,Minneriya,A.S.P. LIYANAGE,SLLP,9,0.01
Badulla,Welimada,A.S.P. LIYANAGE,SLLP,9,0.01
Ratnapura,Pelmadulla,A.S.P. LIYANAGE,SLLP,9,0.01
Jaffna,Uduppiddy,A.S.P. LIYANAGE,SLLP,10,0.04
Jaffna,Chavakachcheri,A.S.P. LIYANAGE,SLLP,10,0.03
Vanni,Mulaithivu,A.S.P. LIYANAGE,SLLP,10,0.02
Trincomalee,Seruwila,A.S.P. LIYANAGE,SLLP,10,0.02
Kegalle,Kegalle,A.S.P. LIYANAGE,SLLP,10,0.02
Kegalle,Rambukkana,A.S.P. LIYANAGE,SLLP,10,0.02
Gampaha,Minuwangoda,A.S.P. LIYANAGE,SLLP,10,0.01
Gampaha,Dompe,A.S.P. LIYANAGE,SLLP,10,0.01
Gampaha,Biyagama,A.S.P. LIYANAGE,SLLP,10,0.01
Kalutara,Bulathsinhala,A.S.P. LIYANAGE,SLLP,10,0.01
Galle,BentaraElpitiya,A.S.P. LIYANAGE,SLLP,10,0.01
Galle,Baddegama,A.S.P. LIYANAGE,SLLP,10,0.01
Kurunegala,Galgamuwa,A.S.P. LIYANAGE,SLLP,10,0.01
Kurunegala,Hiriyala,A.S.P. LIYANAGE,SLLP,10,0.01
Kurunegala,Bingiriya,A.S.P. LIYANAGE,SLLP,10,0.01
Jaffna,Kankesanthurai,A.S.P. LIYANAGE,SLLP,11,0.04
Mahanuwara,Udadumbara,A.S.P. LIYANAGE,SLLP,11,0.02
Anuradhapura,Kekirawa,A.S.P. LIYANAGE,SLLP,11,0.02
Badulla,Badulla,A.S.P. LIYANAGE,SLLP,11,0.02
Gampaha,Attanagalla,A.S.P. LIYANAGE,SLLP,11,0.01
Gampaha,Ja-Ela,A.S.P. LIYANAGE,SLLP,11,0.01
Galle,Akmeemana,A.S.P. LIYANAGE,SLLP,11,0.01
Hambantota,Tangalle,A.S.P. LIYANAGE,SLLP,11,0.01
Kurunegala,Katugampola,A.S.P. LIYANAGE,SLLP,11,0.01
Jaffna,Kayts,A.S.P. LIYANAGE,SLLP,12,0.07
Jaffna,Point-Pedro,A.S.P. LIYANAGE,SLLP,12,0.05
Nuwaraeliya,Hanguranketha,A.S.P. LIYANAGE,SLLP,12,0.02
Vanni,Mannar,A.S.P. LIYANAGE,SLLP,12,0.02
Kegalle,Yatiyantota,A.S.P. LIYANAGE,SLLP,12,0.02
Kegalle,Ruwanwella,A.S.P. LIYANAGE,SLLP,12,0.02
Kegalle,Deraniyagala,A.S.P. LIYANAGE,SLLP,12,0.02
Colombo,Homagama,A.S.P. LIYANAGE,SLLP,12,0.01
Mahanuwara,Kundasale,A.S.P. LIYANAGE,SLLP,12,0.01
Monaragala,Wellawaya,A.S.P. LIYANAGE,SLLP,12,0.01
Gampaha,Negambo,A.S.P. LIYANAGE,SLLP,13,0.02
Galle,Hiniduma,A.S.P. LIYANAGE,SLLP,13,0.02
Badulla,Uvaparanagama,A.S.P. LIYANAGE,SLLP,13,0.02
Colombo,Kaduwela,A.S.P. LIYANAGE,SLLP,13,0.01
Gampaha,Mahara,A.S.P. LIYANAGE,SLLP,13,0.01
Kalutara,Beruwala,A.S.P. LIYANAGE,SLLP,13,0.01
Digamadulla,Pothuvil,A.S.P. LIYANAGE,SLLP,13,0.01
Matale,Matale,A.S.P. LIYANAGE,SLLP,14,0.02
Matale,Rattota,A.S.P. LIYANAGE,SLLP,14,0.02
Nuwaraeliya,Kothmale,A.S.P. LIYANAGE,SLLP,14,0.02
Galle,Karandeniya,A.S.P. LIYANAGE,SLLP,14,0.02
Trincomalee,Muthur,A.S.P. LIYANAGE,SLLP,14,0.02
Matale,Dambulla,A.S.P. LIYANAGE,SLLP,14,0.01
Puttalam,Chillaw,A.S.P. LIYANAGE,SLLP,14,0.01
Ratnapura,Kolonna,A.S.P. LIYANAGE,SLLP,14,0.01
Jaffna,Manipay,A.S.P. LIYANAGE,SLLP,15,0.04
Badulla,Haliela,A.S.P. LIYANAGE,SLLP,15,0.03
Hambantota,Mulkirigala,A.S.P. LIYANAGE,SLLP,15,0.02
Trincomalee,Trincomalee,A.S.P. LIYANAGE,SLLP,15,0.02
Puttalam,Anamaduwa,A.S.P. LIYANAGE,SLLP,15,0.02
Monaragala,Moneragala,A.S.P. LIYANAGE,SLLP,15,0.02
Ratnapura,Rakwana,A.S.P. LIYANAGE,SLLP,15,0.02
Gampaha,Katana,A.S.P. LIYANAGE,SLLP,15,0.01
Kalutara,Bandaragama,A.S.P. LIYANAGE,SLLP,15,0.01
Digamadulla,Ampara,A.S.P. LIYANAGE,SLLP,15,0.01
Gampaha,Wattala,A.S.P. LIYANAGE,SLLP,16,0.02
Batticaloa,Kalkuda,A.S.P. LIYANAGE,SLLP,16,0.02
Vanni,Vavuniya,A.S.P. LIYANAGE,SLLP,17,0.02
Anuradhapura,Kalawewa,A.S.P. LIYANAGE,SLLP,17,0.02
Colombo,Kesbewa,A.S.P. LIYANAGE,SLLP,17,0.01
Jaffna,Vadducoddai,A.S.P. LIYANAGE,SLLP,18,0.06
Jaffna,Kopai,A.S.P. LIYANAGE,SLLP,18,0.05
Ratnapura,Balangoda,A.S.P. LIYANAGE,SLLP,18,0.02
Hambantota,Tissamaharama,A.S.P. LIYANAGE,SLLP,18,0.01
Polonnaruwa,Polonnaruwa,A.S.P. LIYANAGE,SLLP,18,0.01
Badulla,Bandarawela,A.S.P. LIYANAGE,SLLP,19,0.03
Colombo,Avissawella,A.S.P. LIYANAGE,SLLP,19,0.02
Puttalam,Puttalam,A.S.P. LIYANAGE,SLLP,19,0.02
Badulla,Mahiyangana,A.S.P. LIYANAGE,SLLP,19,0.02
Badulla,Passara,A.S.P. LIYANAGE,SLLP,20,0.04
Colombo,Kolonnawa,A.S.P. LIYANAGE,SLLP,20,0.02
Ratnapura,Nivithigala,A.S.P. LIYANAGE,SLLP,20,0.02
Matara,Deniyaya,A.S.P. LIYANAGE,SLLP,22,0.03
Jaffna,Kilinochchi,A.S.P. LIYANAGE,SLLP,22,0.03
Mahanuwara,Harispattuwa,A.S.P. LIYANAGE,SLLP,25,0.02
Nuwaraeliya,Walapane,A.S.P. LIYANAGE,SLLP,32,0.05
Ratnapura,Ratnapura,A.S.P. LIYANAGE,SLLP,38,0.04
Batticaloa,Paddiruppu,A.S.P. LIYANAGE,SLLP,39,0.06
Batticaloa,Batticaloa,A.S.P. LIYANAGE,SLLP,40,0.03
Nuwaraeliya,N.E.Maskeliya,A.S.P. LIYANAGE,SLLP,68,0.03
Matale,Postal Votes,ABUBAKAR MOHAMED INFAS,DUA,0,0
Colombo,Postal Votes,ABUBAKAR MOHAMED INFAS,DUA,1,0
Gampaha,Postal Votes,ABUBAKAR MOHAMED INFAS,DUA,1,0
Monaragala,Postal Votes,ABUBAKAR MOHAMED INFAS,DUA,1,0
Batticaloa,Postal Votes,ABUBAKAR MOHAMED INFAS,DUA,2,0.02
