district,polling_division,valid_votes,rejected_votes,total_polled,total_electors,voting_rate,rejection_rate
Anuradhapura,Postal Votes,53484,1000,54484,55191,98.72,1.84
Anuradhapura,Kekirawa,70231,1265,71496,89380,79.99,1.77
Anuradhapura,AnuradhapuraEast,84597,1445,86042,105697,81.40,1.68
Anuradhapura,AnuradhapuraWest,89243,1493,90736,111756,81.19,1.65
Anuradhapura,Mihinthale,55621,916,56537,70291,80.43,1.62
Anuradhapura,Kalawewa,105772,1722,107494,132651,81.04,1.60
Anuradhapura,Horowpathana,70646,989,71635,86717,82.61,1.38
Anuradhapura,Medawachchiya,74092,952,75044,90179,83.22,1.27
Badulla,Passara,51601,1831,53432,67051,79.69,3.43
Badulla,Haputhale,54498,1842,56340,70174,80.29,3.27
Badulla,Haliela,58688,1970,60658,74382,81.55,3.25
Badulla,Wiyaluwa,43181,1312,44493,54273,81.98,2.95
Badulla,Badulla,45424,1307,46731,57589,81.15,2.80
Badulla,Bandarawela,70667,1969,72636,89166,81.46,2.71
Badulla,Welimada,64534,1646,66180,80452,82.26,2.49
Badulla,Uvaparanagama,52603,1300,53903,64840,83.13,2.41
Badulla,Postal Votes,40488,783,41271,42061,98.12,1.90
Badulla,Mahiyangana,87240,1559,88799,105784,83.94,1.76
Batticaloa,Paddiruppu,65768,2420,68188,101958,66.88,3.55
Batticaloa,Batticaloa,147738,3861,151599,203232,74.59,2.55
Batticaloa,Kalkuda,92438,2360,94798,131380,72.16,2.49
Batticaloa,Postal Votes,12704,235,12939,13116,98.65,1.82
Colombo,ColomboNorth,69243,2276,71519,97620,73.26,3.18
Colombo,Postal Votes,34190,1059,35249,35636,98.91,3.00
Colombo,ColomboCentral,88982,2522,91504,118986,76.90,2.76
Colombo,ColomboWest,27558,731,28289,42048,67.28,2.58
Colombo,ColomboEast,47513,1215,48728,67112,72.61,2.49
Colombo,Ratmalana,49927,1274,51201,70250,72.88,2.49
Colombo,Dehiwala,46342,1172,47514,66062,71.92,2.47
Colombo,Kotte,54258,1360,55618,75810,73.36,2.45
Colombo,Borella,45486,1078,46564,62623,74.36,2.32
Colombo,Avissawella,102604,2385,104989,129439,81.11,2.27
Colombo,Homagama,161728,3689,165417,207235,79.82,2.23
Colombo,Maharagama,105675,2380,108055,140699,76.80,2.20
Colombo,Kolonnawa,108242,2431,110673,142482,77.68,2.20
Colombo,Kesbewa,147160,3181,150341,190053,79.10,2.12
Colombo,Kaduwela,150692,3097,153789,198793,77.36,2.01
Colombo,Moratuwa,94790,1946,96736,120503,80.28,2.01
Digamadulla,Postal Votes,26066,491,26557,26778,99.17,1.85
Digamadulla,Kalmunai,57200,950,58150,80368,72.35,1.63
Digamadulla,Pothuvil,128373,2057,130430,178557,73.05,1.58
Digamadulla,Sammanthurai,69464,1103,70567,97118,72.66,1.56
Digamadulla,Ampara,142294,1962,144256,172611,83.57,1.36
Galle,Postal Votes,40140,927,41067,41437,99.11,2.26
Galle,Baddegama,79931,1591,81522,100243,81.32,1.95
Galle,Ambalangoda,62314,1169,63483,79794,79.56,1.84
Galle,Ratgama,60755,1116,61871,80860,76.52,1.80
Galle,Balapitiya,40821,723,41544,54973,75.57,1.74
Galle,BentaraElpitiya,72137,1265,73402,92167,79.64,1.72
Galle,Hiniduma,82256,1442,83698,103104,81.18,1.72
Galle,Habaraduwa,67678,1145,68823,85463,80.53,1.66
Galle,Akmeemana,82005,1355,83360,103687,80.40,1.63
Galle,Galle,65220,1001,66221,83799,79.02,1.51
Galle,Karandeniya,59563,807,60370,77636,77.76,1.34
Gampaha,Postal Votes,50589,1416,52005,52486,99.08,2.72
Gampaha,Wattala,102774,2526,105300,138957,75.78,2.40
Gampaha,Kelaniya,71269,1707,72976,96376,75.72,2.34
Gampaha,Dompe,102669,2226,104895,127767,82.10,2.12
